country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,rgdpe_emp,rgdpe_h,rgdpe_emp_cagr_2012_2017,wb_region,wb_gini,wb_govexp_1_gdp,wb_govexp_1_constPPP,wb_govexp_2_gdp,wb_govexp_2_constPPP,wb_govexp_3_gdp,wb_govexp_3_constPPP,wb_govexp_12_gdp,wb_govexp_12_constPPP,wb_govexp_123_gdp,wb_govexp_123_constPPP,oecd,oecd_exp_perstud_12p23_public,oecd_exp_perstud_12p2_public,oecd_exp_perstud_3_public,oecd_exp_perstud_12p23_private,oecd_exp_perstud_12p2_private,oecd_exp_perstud_3_private,oecd_exp_gdp_12p23_public,oecd_exp_gdp_12p2_public,oecd_exp_gdp_3_public,oecd_exp_gdp_12p23_private,oecd_exp_gdp_12p2_private,oecd_exp_gdp_3_private,oecd_exp_perstud_gdp_12p23,oecd_exp_perstud_gdp_12p2,oecd_exp_perstud_gdp_3,country_considered
USA,United States,2.5235,98.18222,95.128,3.146005314,1.77371999,4.18379,117974.1592,67.13660917,0.012340279,North America,41.1,1.56964,293636.197,1.74064,325625.5928,1.45485,272161.3438,3.31028,619261.7898,4.76513,891423.1336,1,12178.529,12346.274,11614.43,5814.1709,1164.9047,21448.92,4.15173916,3.2442038,0.90753536,1.98208826,0.30609946,1.6759888,30.626842,22.99848,56.279827,1
UZB,Uzbekistan,2.5951,97.20565,99.9,0.303668266,0.02024,0.44542,20658.93389,,0.045395853,Europe & Central Asia,35.3,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
VAT,Vatican City,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
VCT,St. Vincent and the Grenadines,,99.19463,,0,0.06295,1.20396,23123.15603,,0.012153443,Latin America & Caribbean,,2.10094,28.86525,1.79623,24.6788,0.35649,4.41802,3.89717,53.54405,4.25366,57.96207,0,,,,,,,,,,,,,,,,0
VNM,Vietnam,3.0262,99.48378,69.374,0.118636929,0.05462,1.31901,11507.30927,5.303905822,0.058196259,East Asia & Pacific,35.7,1.67804,8855.71193,2.23649,11802.87803,0.84831,4476.87213,3.91453,20658.58996,4.76284,25135.46209,0,,,,,,,,,,,,,,,,0
VUT,Vanuatu,2.6531,93.6174,,,0.11555,,,,,East Asia & Pacific,37.6,2.0236,18.03249,1.49141,13.29013,,,3.51501,31.32262,,,0,,,,,,,,,,,,,,,,0
WBG,West Bank and Gaza,2.85547,94.2846,57.244,1.647676604,0.133990001,2.57269,,,,Middle East & North Africa,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
WSM,Samoa,,99.05865,73.8,,0.126829998,,,,,East Asia & Pacific,38.7,1.54206,17.59204,1.782,20.32935,0.38216,4.35979,3.32406,37.92139,3.70622,42.28118,0,,,,,,,,,,,,,,,,0
ZAF,South Africa,0.8671,94.60329,74.054,0.491746713,0.331580003,1.1366,38277.72126,17.32735849,-0.00790623,Sub-Saharan Africa,63,2.43904,17644.09665,1.93661,14009.53212,1.134,8203.41689,4.37565,31653.62877,5.50965,39857.04566,0,,,,,,,4.66276648,4.0618406,0.60092588,,,,,,,1
ZMB,Zambia,1.0845,87.38449,38.73,0.089804166,0.02705,0.20775,13401.89562,,0.018674596,Sub-Saharan Africa,57.1,2.51196,1475.40218,0.87013,511.06956,0.33254,195.3159,3.38209,1986.47174,3.71463,2181.78764,0,,,,,,,,,,,,,,,,0
ZWE,Zimbabwe,2.6889,98.82492,56.196,0.155860579,0.04367,0.41191,3560.895583,,0.007355443,Sub-Saharan Africa,44.3,2.9322,1177.3336,1.64915,662.16649,1.03321,414.85422,4.58135,1839.50009,5.61456,2254.35431,0,,,,,,,,,,,,,,,,0
