country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,rgdpe_emp,rgdpe_h,rgdpe_emp_cagr_2012_2017,wb_region,wb_gini,wb_govexp_1_gdp,wb_govexp_1_constPPP,wb_govexp_2_gdp,wb_govexp_2_constPPP,wb_govexp_3_gdp,wb_govexp_3_constPPP,wb_govexp_12_gdp,wb_govexp_12_constPPP,wb_govexp_123_gdp,wb_govexp_123_constPPP,oecd,oecd_exp_perstud_12p23_public,oecd_exp_perstud_12p2_public,oecd_exp_perstud_3_public,oecd_exp_perstud_12p23_private,oecd_exp_perstud_12p2_private,oecd_exp_perstud_3_private,oecd_exp_gdp_12p23_public,oecd_exp_gdp_12p2_public,oecd_exp_gdp_3_public,oecd_exp_gdp_12p23_private,oecd_exp_gdp_12p2_private,oecd_exp_gdp_3_private,oecd_exp_perstud_gdp_12p23,oecd_exp_perstud_gdp_12p2,oecd_exp_perstud_gdp_3,country_considered
CHL,Chile,1.32,96.69952,76.98,2.076139964,0.589800003,4.00574,53407.93571,27.05569185,0.008666386,Latin America & Caribbean,44.4,1.51059,6602.50066,1.54074,6734.30784,1.36849,5981.40931,3.05133,13336.8085,4.41982,19318.21781,1,4059.8972,4310.0527,3447.0251,2427.4502,902.80737,6162.7695,3.96037638,2.9857203,0.97465608,2.36794578,0.62540538,1.7425404,27.422287,22.034975,40.620998,1
CHN,China,1.624,,72.318,0.200016758,0.348679996,1.83344,23236.39447,10.68659297,0.045438962,East Asia & Pacific,38.5,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
CIV,Côte d'Ivoire,1.1257,73.00511,23.922,0.035553093,0.01732,0.42894,11101.70354,,0.058851914,Sub-Saharan Africa,41.5,1.53991,1941.37721,1.1435,1441.62839,0.45675,575.82773,2.68341,3383.0056,3.14016,3958.83333,0,,,,,,,,,,,,,,,,0
CMR,Cameroon,2.3639,92.71015,34.538,0.099105851,0.05043,0.67928,7783.32495,,0.01792887,Sub-Saharan Africa,46.6,0.93778,675.51426,1.41745,968.68472,0.28254,203.52098,2.35523,1644.19898,2.63777,1847.71996,0,,,,,,,,,,,,,,,,0
COD,"Congo, Democratic Republic of",1.9736,,43.09,0.048955756,0.00119,0.35435,2177.351401,,0.004650163,Sub-Saharan Africa,42.1,1.27019,881.42402,0.29613,205.49676,0.51669,358.32822,1.56632,1086.92078,2.08301,1445.249,0,,,,,,,,,,,,,,,,0
COG,"Congo, Republic of",1.2752,85.4529,46.282,0.041100864,0.074399999,0.53202,12793.73732,,-0.033961176,Sub-Saharan Africa,48.9,1.92834,292.5475,3.31765,503.31933,0.70545,118.84302,5.24599,795.86683,5.95144,914.70985,0,,,,,,,,,,,,,,,,0
COL,Colombia,1.341,96.82309,47.876,0.894855658,0.180070001,2.53597,27574.78903,13.8029363,0.012292823,Latin America & Caribbean,50.4,1.45803,10464.29536,1.69641,12175.15133,1.03925,7458.68573,3.15444,22639.44669,4.19369,30098.13242,1,2513.129604,2452.407272,2783.425011,1094.2693,684.38153,2918.8193,3.95684224,3.153731,0.80311124,1.72399361,0.88043482,0.84355879,25.064751,21.794882,39.620052,1
COM,Comoros,1.9825,85.07561,,0,0.01574,0.41054,11411.68838,,0.012845039,Sub-Saharan Africa,45.3,1.38991,31.97928,0.70481,16.2163,0.26498,6.09678,2.09472,48.19558,2.3597,54.29236,0,,,,,,,,,,,,,,,,0
CPV,Cabo Verde,2.8166,93.70894,29.52,2.815468938,0.05736,1.09721,17567.99002,,0.009345791,Sub-Saharan Africa,42.4,1.97396,70.48434,2.06899,73.87761,0.88873,31.73379,4.04295,144.36195,4.93168,176.09574,0,,,,,,,,,,,,,,,,0
CRI,Costa Rica,3.25,99.0296,51.748,3.035179373,0.171210001,2.48118,39661.35691,17.92698061,0.038534978,Latin America & Caribbean,48,2.09278,2074.9107,2.409,2388.43238,1.56983,1556.42857,4.50178,4463.34308,6.07161,6019.77165,0,,,,,,,,,,,,,,,,1
CUB,Cuba,3.2215,96.96481,83.14286,,0.180440003,2.96763,,,,Latin America & Caribbean,,3.72731,,3.73666,,,,7.46397,,,,0,,,,,,,,,,,,,,,,0
CYP,Cyprus,3.76,98.82455,77.988,7.463706516,1.753120005,2.53561,88735.51084,49.75300502,0.015183937,Europe & Central Asia,31.4,1.88125,610.67968,2.40704,781.35914,1.16082,376.8171,4.28829,1392.03882,5.44911,1768.85592,0,,,,,,,,,,,,,,,,1
CZE,Czechia,3.7893,99.59551,99.8,2.692730967,2.024660027,3.01713,71487.21271,40.24813796,0.034140936,Europe & Central Asia,24.9,0.81212,3311.62178,1.72334,7027.32866,0.70447,2872.65915,2.53546,10338.95044,3.23993,13211.60959,1,7685.398366,7401.123,8836.01059,1046.8785,651.23322,2648.2664,3.15727282,2.4674066,0.68986622,0.43523933,0.21710989,0.21812944,22.676908,20.911219,29.823597,1
DEU,Germany,3.5011,97.87141,96.52,2.895972772,1.902799988,3.0336,93328.42716,68.9336984,0.023028617,Europe & Central Asia,31.9,0.63432,27794.4318,1.99692,87500.84395,1.25166,54845.37419,2.63124,115295.2758,3.8829,170140.6499,1,11699.29756,10628.837,15677.66424,1829.3153,1565.7721,2808.7739,3.6281669,2.6132395,1.0149274,0.57077852,0.38496569,0.18581283,25.520018,23.003588,34.87233,1
DJI,Djibouti,1.0732,58.54259,,0.219587852,0.02079,0.208333333,9269.532669,,0.066964378,Middle East & North Africa,41.6,1.68105,73.55785,0.03253,1.42349,0.74086,,1.71358,74.98134,2.45444,,0,,,,,,,,,,,,,,,,0
DMA,Dominica,,97.71069,,0,0.420980003,,,,,Latin America & Caribbean,,1.80834,14.68611,1.79046,14.54094,0,0,3.5988,29.22705,3.5988,29.22705,0,,,,,,,,,,,,,,,,0
DNK,Denmark,3.7762,99.51796,93.554,4.453823772,4.027930021,4.06582,97982.2958,69.9682893,0.021254026,Europe & Central Asia,28.7,1.932,6133.09083,2.11539,6715.26962,2.45328,7787.88551,4.04739,12848.36045,6.50067,20636.24596,1,13233.683,11877.947,17861.621,265.51016,284.5618,200.4756,5.3726516,3.7296577,1.6429939,0.10779265,0.08935198,0.01844067,24.523645,22.095325,32.812958,1
DOM,Dominican Republic,1.0396,94.65644,54.926,0.744622156,0.01266,2.5864,35015.44244,,0.038508762,Latin America & Caribbean,43.7,2.01311,3981.94953,1.14845,2271.64334,,,3.16156,6253.59287,,,0,,,,,,,,,,,,,,,,1
