country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,gdp,oecd,wb_region,wb_incomegroup
POL,Poland,3.6369,96.23551,83.34,50.79999847,1.054940003,3.38505,26636.91014,1,Europe & Central Asia,High income
PRK,"Korea, Democratic Republic of",2.885,97.7525,,0.200000003,0.00343,1.45083,,0,East Asia & Pacific,Low income
PRT,Portugal,3.4546,99.46573,48.53,37.00000076,2.027640021,3.02226,24309.59992,1,Europe & Central Asia,High income
PRY,Paraguay,0.5317,89.814525,43.286,1.999999952,0.02875,2.0214,8135.336897,0,Latin America & Caribbean,Upper middle income
QAT,Qatar,3.6184,97.12487,61.772,3.399999905,0.97268002,0.58864,93792.62853,0,Middle East & North Africa,High income
ROU,Romania,2.3359,93.59748,88.762,22.2,0.731579995,2.60232,24348.96424,0,Europe & Central Asia,High income
RUS,Russia,2.6244,99.24394,93.762,144.5999962,0.46674,3.86504,22580.94235,0,Europe & Central Asia,Upper middle income
RWA,Rwanda,2.964,95.72597,12.94286,1.500000024,0.02457,0.38321,1997.61912,0,Sub-Saharan Africa,Low income
SAU,Saudi Arabia,2.9905,97.1169,66.776,30.59999924,0.528320006,2.55545,38548.08734,0,Middle East & North Africa,High income
SDN,Sudan,0.4551,58.33184,16.104,3.799999952,0.01827,0.825,4391.03691,0,Sub-Saharan Africa,Low income
SEN,Senegal,2.3521,74.7055,13.748,0.600000024,0.04505,0.5129,3208.144332,0,Sub-Saharan Africa,Lower middle income
SGP,Singapore,3.6716,99.976,77.912,10.40000019,3.339249969,3.7266,67138.11392,0,East Asia & Pacific,High income
SLB,Solomon Islands,1.1644,94.25186,,0,0.05914,,,0,East Asia & Pacific,Lower middle income
SLE,Sierra Leone,1.3917,97.78417,21.21,0.200000003,0.01235,,1394.488534,0,Sub-Saharan Africa,Low income
SLV,El Salvador,0.9246,91.46973,41.246,5,0.01664,1.53325,6659.799655,0,Latin America & Caribbean,Lower middle income
SMR,San Marino,,97.545175,,,0.717140009,2.47266,,0,Europe & Central Asia,High income
SOM,Somalia,0.3015,,,3.779999948,0.0015,,,0,Sub-Saharan Africa,Low income
SRB,Serbia,2.7367,97.63919,86.372,6.199999952,1.001670009,2.68235,14027.70852,0,Europe & Central Asia,Upper middle income
SSD,South Sudan,0.110142857,39.10981429,33.2,0.600000024,0.0008,,,0,Sub-Saharan Africa,Low income
STP,Sao Tome and Principe,2.1073,90.64729,38.25,0,0.02331,0.47539,3541.937347,0,Sub-Saharan Africa,Lower middle income
SUR,Suriname,2.2427,88.63656,56.02858,0.200000003,0.064480001,,11815.03577,0,Latin America & Caribbean,Upper middle income
SVK,Slovakia,2.4918,94.84674,98.405,8.599999809,1.314809996,2.52562,24923.8492,1,Europe & Central Asia,High income
SVN,Slovenia,3.8721,99.51904,96.904,4.2,2.795839977,3.88932,28234.73348,1,Europe & Central Asia,High income
SWE,Sweden,3.1574,99.80221,87.428,52.38000145,3.579770017,3.43813,43375.88065,1,Europe & Central Asia,High income
SWZ,Eswatini,1.3419,85.51681,27.714,0.200000003,0.09695,0.37517,7309.01796,0,Sub-Saharan Africa,Lower middle income
SYC,Seychelles,3.547,98.69011,,0.200000003,0.487359992,0.43169,32104.80504,0,Sub-Saharan Africa,High income
TCD,Chad,0.8287,71.2697,5.757,0.800000012,0.00262,0.14206,1307.972039,0,Sub-Saharan Africa,Low income
TGO,Togo,3.1587,92.41515,33.882,0.400000006,0.01944,0.55533,1566.14707,0,Sub-Saharan Africa,Low income
THA,Thailand,1.8407,98.0825,41.526,36.80000076,0.19623,2.50508,15740.31373,0,East Asia & Pacific,Upper middle income
TJK,Tajikistan,0.9331,98.82245,93.258,1.879999995,0.01454,1.33374,4337.992105,0,Europe & Central Asia,Low income
TKM,Turkmenistan,2.5599,,,0.200000003,0.00406,0.3983,21989.5841,0,Europe & Central Asia,Upper middle income
TLS,Timor-Leste,0.911,93.15416,,0.920000005,0.01823,1.01855,,0,East Asia & Pacific,Lower middle income
TON,Tonga,,98.76179,89.498,,0.11696,,,0,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,3.3346,98.56915,67.386,0.600000024,0.26487,,39779.81179,0,Latin America & Caribbean,High income
TUN,Tunisia,2.1994,98.78733,44.142,8.500000048,0.588519996,1.71832,11126.99281,0,Middle East & North Africa,Lower middle income
TUR,Turkey,1.3386,94.7361,49.938,58.18000145,0.495829999,4.20994,27262.66344,1,Europe & Central Asia,Upper middle income
TUV,Tuvalu,,90.65293,,,0.215170004,,,0,East Asia & Pacific,Upper middle income
TWN,Taiwan,3.7418,,,80.6,,,43211.00474,0,East Asia & Pacific,High income
TZA,Tanzania,2.0042,86.97788,12.032,3.359999943,0.02418,0.17371,2479.445345,0,Sub-Saharan Africa,Lower middle income
UGA,Uganda,1.1966,95.06763,30.142,5.400000024,0.03399,0.22701,1802.483698,0,Sub-Saharan Africa,Low income
UKR,Ukraine,3.0228,91.9363,94.494,28.17999992,0.236780003,3.92936,9511.548985,0,Europe & Central Asia,Lower middle income
URY,Uruguay,2.9947,99.5443,52.552,5.359999847,0.379889998,2.91257,19722.96551,0,Latin America & Caribbean,High income
USA,United States,2.5235,98.18222,95.128,1020.999976,1.77371999,4.18379,54794.76329,1,North America,High income
UZB,Uzbekistan,2.5951,97.20565,99.9,9.299999714,0.02024,0.44542,9595.362217,0,Europe & Central Asia,Lower middle income
VAT,Vatican City,,,,,,,,0,,
VCT,St. Vincent and the Grenadines,,99.19463,,,0.06295,1.20396,8145.95691,0,Latin America & Caribbean,Upper middle income
VNM,Vietnam,3.0262,99.48378,69.374,12.58000002,0.05462,1.31901,5846.182215,0,East Asia & Pacific,Lower middle income
VUT,Vanuatu,2.6531,93.6174,,0,0.11555,,,0,East Asia & Pacific,Lower middle income
WBG,West Bank and Gaza,2.85547,94.2846,57.244,7.599999809,0.133990001,2.57269,,0,Middle East & North Africa,Lower middle income
WSM,Samoa,,99.05865,73.8,,0.126829998,,,0,East Asia & Pacific,Upper middle income
ZAF,South Africa,0.8671,94.60329,74.054,28.4,0.331580003,1.1366,11741.27223,0,Sub-Saharan Africa,Upper middle income
ZMB,Zambia,1.0845,87.38449,38.73,1.399999976,0.02705,0.20775,3699.011329,0,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,2.6889,98.82492,56.196,2.400000095,0.04367,0.41191,1871.808663,0,Sub-Saharan Africa,Lower middle income
